p	err
0.	0.6188823361972693
0.01	0.6245273961281791
0.02	0.6302769687503307
0.03	0.6361339836058681
0.04	0.6421014807582699
0.05	0.6481826160539444
0.06	0.6543806666873189
0.07	0.6606990370900098
0.08	0.6671412651663307
0.09	0.6737110288991379
0.1	0.6804121533519059
0.11	0.6872486180950773
0.12	0.6942245650869505
0.13	0.7013443070419186
0.14	0.7086123363215839
0.15	0.7160333343872507
0.16	0.7236121818556095
0.17	0.731353969202989
0.18	0.7392640081675086
0.19	0.7473478439028065
0.2	0.7556112679417806
0.21	0.7640603320340301
0.22	0.7727013629264743
0.23	0.7815409781630231
0.24	0.7905861029862059
0.25	0.7998439884314917
0.26	0.8093222307136532
0.27	0.8190287920141155
0.28	0.8289720227888366
0.29	0.8391606857280912
0.3	0.849603981512646
0.31	0.8603115765254497
0.32	0.8712936326942716
0.33	0.8825608396589478
0.34	0.8941244494772668
0.35000000000000003	0.905996314106355
0.36	0.9181889259220097
0.37	0.9307154615671919
0.38	0.943589829453223
0.39	0.9568267212736847
0.4	0.9704416679321295
0.41000000000000003	0.9844511003312265
0.42	0.9988724155235736
0.43	1.0137240487841435
0.44	1.0290255522321532
0.45	1.0447976807074095
0.46	1.0610624856942468
0.47000000000000003	1.0778434181868723
0.48	1.0951654415051972
0.49	1.1130551552025292
0.5	1.131540931358595
0.51	1.1506530647267033
0.52	1.1704239384063244
0.53	1.1908882069468458
0.54	1.212082999060379
0.55	1.2340481424381124
0.56	1.256826413534104
0.5700000000000001	1.28046381561245
0.58	1.3050098888605999
0.59	1.3305180569677841
0.6	1.3570460152709785
0.61	1.3846561664034496
0.62	1.413416110369536
0.63	1.4433991971471734
0.64	1.474685151327815
0.65	1.507360779993012
0.66	1.5415207770619468
0.67	1.5772686398048859
0.68	1.6147177162051685
0.6900000000000001	1.653992405495407
0.7000000000000001	1.6952295386557659
0.71	1.7385799711534278
0.72	1.7842104269932726
0.73	1.8323056415913388
0.74	1.8830708615330891
0.75	1.9367347725398163
0.76	1.9935529437355433
0.77	2.053811897645466
0.78	2.1178339426922874
0.79	2.185982940221401
0.8	2.258671223920618
0.81	2.336367949546545
0.8200000000000001	2.419609232198646
0.8300000000000001	2.5090105341281967
0.84	2.605281908382941
0.85	2.7092468970809365
0.86	2.821866149080021
0.87	2.9442671917398013
0.88	3.0777823125579187
0.89	3.223997250589964
0.9	3.3848144761075143
0.91	3.5625364256773757
0.92	3.7599764417787154
0.93	3.9806088070838856
0.9400000000000001	4.228774949243499
0.9500000000000001	4.50997198318803
0.96	4.831264682493371
0.97	5.201887207398103
0.98	5.634145038730283
0.99	6.144807702095769
1.	6.7573349341343265
