p	err
0.01	0.0024479365782414534
0.02	0.002433899075228836
0.03	0.002419451614471426
0.04	0.0024045759727121907
0.05	0.002389252830530706
0.06	0.0023734616886963637
0.07	0.0023571807767221176
0.08	0.002340386952787539
0.09	0.0023230555940751897
0.1	0.0023051604763905907
0.11	0.002286673641881507
0.12	0.002267565253404318
0.13	0.0022478034339801873
0.14	0.002227354089522266
0.15	0.002206180712742535
0.16	0.002184244165902356
0.17	0.002161502439675981
0.18	0.0021379103850145283
0.19	0.002113419414421295
0.2	0.0020879771685002424
0.21	0.0020615271429782673
0.22	0.002034008270630581
0.23	0.002005354451656654
0.24	0.001975494024921808
0.25	0.0019443491712475283
0.26	0.001911835238368482
0.27	0.0018778599753490111
0.28	0.001842322662030487
0.29	0.0018051131164656619
0.3	0.0017661105600273923
0.31	0.001725182316077242
0.32	0.0016821823132996357
0.33	0.0016369493591735181
0.34	0.0015893051420843613
0.35000000000000003	0.0015390519122538491
0.36	0.0014859697816058742
0.37	0.0014298135708067693
0.38	0.001370309118000145
0.39	0.0013071489488730619
0.4	0.0012399871934372798
0.41000000000000003	0.0011684336266670058
0.42	0.0010920467207650825
0.43	0.0010103256595230725
0.44	0.0009227014665926983
0.45	0.0008285279820761125
0.46	0.0007270751312543273
0.47000000000000003	0.0006175323737842844
0.48	0.0004990503078943883
0.49	0.0003709421719214546
0.5	0.000233816582831022
0.51	0.0001021288473050455
0.52	0.00013572619122249646
0.53	0.0003112100682131981
0.54	0.0005200497424960116
0.55	0.0007571097452881789
0.56	0.0010259202215687011
0.5700000000000001	0.0013324442929988477
0.58	0.001684815648169086
0.59	0.0020939283638655637
0.6	0.002574545969303873
0.61	0.0031471104501981286
0.62	0.003840722199809659
0.63	0.004698242540326034
0.64	0.005785501691730326
0.65	0.0072090525083985295
0.66	0.009153409703736851
0.67	0.011968306145626698
0.68	0.016406943120046646
0.6900000000000001	0.024443620689446447
0.7000000000000001	0.043434780126195165
0.71	10
0.72	10
0.73	0.04827989229333369
0.74	0.030568593862733303
0.75	0.022884370279762676
0.76	0.018590730620804265
0.77	0.015849195350542168
0.78	0.013946993666053214
0.79	0.012549848991599109
0.8	0.011480188579121888
0.81	0.010634950726675458
0.8200000000000001	0.009950213480500222
0.8300000000000001	0.009384225599975154
0.84	0.008908561407431138
0.85	0.00850319731699588
0.86	0.008153621078141677
0.87	0.007849057666307207
0.88	0.007581339028462118
0.89	0.007344160621991963
0.9	0.0071325786508196045
0.91	0.0069426617392832615
0.92	0.006771244392870584
0.93	0.006615749156235307
0.9400000000000001	0.0064740561269836135
0.9500000000000001	0.006344405738855668
0.96	0.006225325321443722
0.97	0.006115572917852202
0.98	0.006014093807281285
0.99	0.005919986502332915
1.	0.005832475896594158
