p	poptd	analytic
0.0	8.445062	7.6948795
0.03448276	364.8036	193.21007
0.06896552	363.29404	234.6114
0.10344827	363.07672	443.80652
0.13793103	362.90686	717.54565
0.1724138	362.73508	1042.8324
0.20689654	362.65988	1426.0029
0.2413793	362.54926	1880.498
0.27586207	362.60278	2426.5693
0.31034482	362.54605	3093.8738
0.3448276	362.46027	3926.9421
0.37931034	362.4721	4996.0063
0.4137931	362.44614	6417.4116
0.44827586	362.4594	8399.342
0.4827586	362.43967	11354.521
0.51724136	362.48798	16229.555
0.55172414	362.48453	25806.549
0.5862069	362.47638	53158.34
0.62068963	362.46896	788028.5
0.6551724	362.47787	69864.15
0.6896552	362.4813	35446.223
0.7241379	362.45056	24565.822
0.7586207	362.45233	19238.855
0.79310346	362.44293	16072.184
0.8275862	362.4176	13974.635
0.86206895	362.42178	12483.277
0.8965517	362.43436	11368.789
0.9310345	362.42554	10503.776
0.9655172	362.4458	9813.268
1.0	362.4473	9249.4375
